Measure_Type,Length,Weight,Species,Species_ID,Edible
Total length,84,1.9,Brown shyshark (M&F),432,False
Total length,85,1.9,Brown shyshark (M&F),432,False
Total length,86,2.0,Brown shyshark (M&F),432,False
Total length,87,2.1,Brown shyshark (M&F),432,False
Total length,88,2.1,Brown shyshark (M&F),432,False
Total length,89,2.2,Brown shyshark (M&F),432,False
Total length,90,2.3,Brown shyshark (M&F),432,False
Total length,91,2.4,Brown shyshark (M&F),432,False
Total length,92,2.4,Brown shyshark (M&F),432,False
Total length,93,2.5,Brown shyshark (M&F),432,False
Total length,94,2.6,Brown shyshark (M&F),432,False
Total length,95,2.7,Brown shyshark (M&F),432,False
Total length,96,2.8,Brown shyshark (M&F),432,False
Total length,97,2.9,Brown shyshark (M&F),432,False
Total length,98,3.0,Brown shyshark (M&F),432,False
Total length,99,3.1,Brown shyshark (M&F),432,False
Total length,100,3.1,Brown shyshark (M&F),432,False
Total length,101,3.2,Brown shyshark (M&F),432,False
Total length,102,3.3,Brown shyshark (M&F),432,False
Total length,103,3.4,Brown shyshark (M&F),432,False
Total length,104,3.5,Brown shyshark (M&F),432,False
Total length,105,3.7,Brown shyshark (M&F),432,False
Total length,106,3.8,Brown shyshark (M&F),432,False
Total length,107,3.9,Brown shyshark (M&F),432,False
Total length,108,4.0,Brown shyshark (M&F),432,False
Total length,109,4.1,Brown shyshark (M&F),432,False
Total length,110,4.2,Brown shyshark (M&F),432,False
Total length,111,4.3,Brown shyshark (M&F),432,False
Total length,112,4.4,Brown shyshark (M&F),432,False
Total length,113,4.6,Brown shyshark (M&F),432,False
Total length,114,4.7,Brown shyshark (M&F),432,False
Total length,115,4.8,Brown shyshark (M&F),432,False
Total length,116,5.0,Brown shyshark (M&F),432,False
Total length,117,5.1,Brown shyshark (M&F),432,False
Total length,118,5.2,Brown shyshark (M&F),432,False
Total length,119,5.4,Brown shyshark (M&F),432,False
Total length,120,5.5,Brown shyshark (M&F),432,False
Total length,121,5.6,Brown shyshark (M&F),432,False
Total length,122,5.8,Brown shyshark (M&F),432,False
Total length,123,5.9,Brown shyshark (M&F),432,False
Total length,124,6.1,Brown shyshark (M&F),432,False
Total length,125,6.2,Brown shyshark (M&F),432,False
Total length,126,6.4,Brown shyshark (M&F),432,False
Total length,127,6.5,Brown shyshark (M&F),432,False
Total length,128,6.7,Brown shyshark (M&F),432,False
Fork length,25,0.2,Shortfin mako (M&F),385,False
Fork length,26,0.2,Shortfin mako (M&F),385,False
Fork length,27,0.2,Shortfin mako (M&F),385,False
Fork length,28,0.2,Shortfin mako (M&F),385,False
Fork length,29,0.2,Shortfin mako (M&F),385,False
Fork length,30,0.3,Shortfin mako (M&F),385,False
Fork length,31,0.3,Shortfin mako (M&F),385,False
Fork length,32,0.3,Shortfin mako (M&F),385,False
Fork length,33,0.4,Shortfin mako (M&F),385,False
Fork length,34,0.4,Shortfin mako (M&F),385,False
Fork length,35,0.4,Shortfin mako (M&F),385,False
Fork length,36,0.5,Shortfin mako (M&F),385,False
Fork length,37,0.5,Shortfin mako (M&F),385,False
Fork length,38,0.5,Shortfin mako (M&F),385,False
Fork length,39,0.6,Shortfin mako (M&F),385,False
Fork length,40,0.6,Shortfin mako (M&F),385,False
Fork length,41,0.7,Shortfin mako (M&F),385,False
Fork length,42,0.7,Shortfin mako (M&F),385,False
Fork length,43,0.7,Shortfin mako (M&F),385,False
Fork length,44,0.8,Shortfin mako (M&F),385,False
Fork length,45,0.9,Shortfin mako (M&F),385,False
Fork length,46,0.9,Shortfin mako (M&F),385,False
Fork length,47,1.0,Shortfin mako (M&F),385,False
Fork length,48,1.0,Shortfin mako (M&F),385,False
Fork length,49,1.1,Shortfin mako (M&F),385,False
Fork length,50,1.1,Shortfin mako (M&F),385,False
Fork length,51,1.2,Shortfin mako (M&F),385,False
Fork length,52,1.3,Shortfin mako (M&F),385,False
Fork length,53,1.4,Shortfin mako (M&F),385,False
Fork length,54,1.4,Shortfin mako (M&F),385,False
Fork length,55,1.5,Shortfin mako (M&F),385,False
Fork length,56,1.6,Shortfin mako (M&F),385,False
Fork length,57,1.7,Shortfin mako (M&F),385,False
Fork length,58,1.8,Shortfin mako (M&F),385,False
Fork length,59,1.8,Shortfin mako (M&F),385,False
Fork length,60,1.9,Shortfin mako (M&F),385,False
Fork length,61,2.0,Shortfin mako (M&F),385,False
Fork length,62,2.1,Shortfin mako (M&F),385,False
Fork length,63,2.2,Shortfin mako (M&F),385,False
Fork length,64,2.3,Shortfin mako (M&F),385,False
Fork length,65,2.4,Shortfin mako (M&F),385,False
Fork length,66,2.5,Shortfin mako (M&F),385,False
Fork length,67,2.6,Shortfin mako (M&F),385,False
Fork length,68,2.8,Shortfin mako (M&F),385,False
Fork length,69,2.9,Shortfin mako (M&F),385,False
Fork length,70,3.0,Shortfin mako (M&F),385,False
Fork length,71,3.1,Shortfin mako (M&F),385,False
Fork length,72,3.2,Shortfin mako (M&F),385,False
Fork length,73,3.4,Shortfin mako (M&F),385,False
Fork length,74,3.5,Shortfin mako (M&F),385,False
Fork length,75,3.6,Shortfin mako (M&F),385,False
Fork length,76,3.8,Shortfin mako (M&F),385,False
Fork length,77,3.9,Shortfin mako (M&F),385,False
Fork length,78,4.1,Shortfin mako (M&F),385,False
Fork length,79,4.2,Shortfin mako (M&F),385,False
Fork length,80,4.4,Shortfin mako (M&F),385,False
Fork length,81,4.5,Shortfin mako (M&F),385,False
Fork length,82,4.7,Shortfin mako (M&F),385,False
Fork length,83,4.9,Shortfin mako (M&F),385,False
Fork length,84,5.0,Shortfin mako (M&F),385,False
Fork length,85,5.2,Shortfin mako (M&F),385,False
Fork length,86,5.4,Shortfin mako (M&F),385,False
Fork length,87,5.6,Shortfin mako (M&F),385,False
Fork length,88,5.7,Shortfin mako (M&F),385,False
Fork length,89,5.9,Shortfin mako (M&F),385,False
Fork length,90,6.1,Shortfin mako (M&F),385,False
Fork length,91,6.3,Shortfin mako (M&F),385,False
Fork length,92,6.5,Shortfin mako (M&F),385,False
Fork length,93,6.7,Shortfin mako (M&F),385,False
Fork length,94,6.9,Shortfin mako (M&F),385,False
Fork length,95,7.1,Shortfin mako (M&F),385,False
Fork length,96,7.3,Shortfin mako (M&F),385,False
Fork length,97,7.6,Shortfin mako (M&F),385,False
Fork length,98,7.8,Shortfin mako (M&F),385,False
Fork length,99,8.0,Shortfin mako (M&F),385,False
Fork length,100,8.3,Shortfin mako (M&F),385,False
Fork length,101,8.5,Shortfin mako (M&F),385,False
Fork length,102,8.7,Shortfin mako (M&F),385,False
Fork length,103,9.0,Shortfin mako (M&F),385,False
Fork length,104,9.2,Shortfin mako (M&F),385,False
Fork length,105,9.5,Shortfin mako (M&F),385,False
Fork length,106,9.7,Shortfin mako (M&F),385,False
Fork length,107,10.0,Shortfin mako (M&F),385,False
Fork length,108,10.3,Shortfin mako (M&F),385,False
Fork length,109,10.6,Shortfin mako (M&F),385,False
Fork length,110,10.8,Shortfin mako (M&F),385,False
Fork length,111,11.1,Shortfin mako (M&F),385,False
Fork length,112,11.4,Shortfin mako (M&F),385,False
Fork length,113,11.7,Shortfin mako (M&F),385,False
Fork length,114,12.0,Shortfin mako (M&F),385,False
Fork length,115,12.3,Shortfin mako (M&F),385,False
Fork length,116,12.6,Shortfin mako (M&F),385,False
Fork length,117,12.9,Shortfin mako (M&F),385,False
Fork length,118,13.2,Shortfin mako (M&F),385,False
Fork length,119,13.5,Shortfin mako (M&F),385,False
Fork length,120,13.9,Shortfin mako (M&F),385,False
Fork length,121,14.2,Shortfin mako (M&F),385,False
Fork length,122,14.5,Shortfin mako (M&F),385,False
Fork length,123,14.9,Shortfin mako (M&F),385,False
Fork length,124,15.2,Shortfin mako (M&F),385,False
Fork length,125,15.6,Shortfin mako (M&F),385,False
Fork length,126,15.9,Shortfin mako (M&F),385,False
Fork length,127,16.3,Shortfin mako (M&F),385,False
Fork length,128,16.7,Shortfin mako (M&F),385,False
Pre-caudal,25,0.3,Great white shark (M&F),386,False
Pre-caudal,26,0.3,Great white shark (M&F),386,False
Pre-caudal,27,0.4,Great white shark (M&F),386,False
Pre-caudal,28,0.4,Great white shark (M&F),386,False
Pre-caudal,29,0.4,Great white shark (M&F),386,False
Pre-caudal,30,0.5,Great white shark (M&F),386,False
Pre-caudal,31,0.5,Great white shark (M&F),386,False
Pre-caudal,32,0.6,Great white shark (M&F),386,False
Pre-caudal,33,0.6,Great white shark (M&F),386,False
Pre-caudal,34,0.7,Great white shark (M&F),386,False
Pre-caudal,35,0.8,Great white shark (M&F),386,False
Pre-caudal,36,0.8,Great white shark (M&F),386,False
Pre-caudal,37,0.9,Great white shark (M&F),386,False
Pre-caudal,38,1.0,Great white shark (M&F),386,False
Pre-caudal,39,1.0,Great white shark (M&F),386,False
Pre-caudal,40,1.1,Great white shark (M&F),386,False
Pre-caudal,41,1.2,Great white shark (M&F),386,False
Pre-caudal,42,1.3,Great white shark (M&F),386,False
Pre-caudal,43,1.4,Great white shark (M&F),386,False
Pre-caudal,44,1.5,Great white shark (M&F),386,False
Pre-caudal,45,1.6,Great white shark (M&F),386,False
Pre-caudal,46,1.7,Great white shark (M&F),386,False
Pre-caudal,47,1.8,Great white shark (M&F),386,False
Pre-caudal,48,1.9,Great white shark (M&F),386,False
Pre-caudal,49,2.0,Great white shark (M&F),386,False
Pre-caudal,50,2.1,Great white shark (M&F),386,False
Pre-caudal,51,2.3,Great white shark (M&F),386,False
Pre-caudal,52,2.4,Great white shark (M&F),386,False
Pre-caudal,53,2.6,Great white shark (M&F),386,False
Pre-caudal,54,2.7,Great white shark (M&F),386,False
Pre-caudal,55,2.8,Great white shark (M&F),386,False
Pre-caudal,56,3.0,Great white shark (M&F),386,False
Pre-caudal,57,3.2,Great white shark (M&F),386,False
Pre-caudal,58,3.3,Great white shark (M&F),386,False
Pre-caudal,59,3.5,Great white shark (M&F),386,False
Pre-caudal,60,3.7,Great white shark (M&F),386,False
Pre-caudal,61,3.9,Great white shark (M&F),386,False
Pre-caudal,62,4.0,Great white shark (M&F),386,False
Pre-caudal,63,4.2,Great white shark (M&F),386,False
Pre-caudal,64,4.4,Great white shark (M&F),386,False
Pre-caudal,65,4.7,Great white shark (M&F),386,False
Pre-caudal,66,4.9,Great white shark (M&F),386,False
Pre-caudal,67,5.1,Great white shark (M&F),386,False
Pre-caudal,68,5.3,Great white shark (M&F),386,False
Pre-caudal,69,5.5,Great white shark (M&F),386,False
Pre-caudal,70,5.8,Great white shark (M&F),386,False
Pre-caudal,71,6.0,Great white shark (M&F),386,False
Pre-caudal,72,6.3,Great white shark (M&F),386,False
Pre-caudal,73,6.5,Great white shark (M&F),386,False
Pre-caudal,74,6.8,Great white shark (M&F),386,False
Pre-caudal,75,7.1,Great white shark (M&F),386,False
Pre-caudal,76,7.4,Great white shark (M&F),386,False
Pre-caudal,77,7.7,Great white shark (M&F),386,False
Pre-caudal,78,8.0,Great white shark (M&F),386,False
Pre-caudal,79,8.3,Great white shark (M&F),386,False
Pre-caudal,80,8.6,Great white shark (M&F),386,False
Pre-caudal,81,8.9,Great white shark (M&F),386,False
Pre-caudal,82,9.2,Great white shark (M&F),386,False
Pre-caudal,83,9.6,Great white shark (M&F),386,False
Pre-caudal,84,9.9,Great white shark (M&F),386,False
Pre-caudal,85,10.2,Great white shark (M&F),386,False
Pre-caudal,86,10.6,Great white shark (M&F),386,False
Pre-caudal,87,11.0,Great white shark (M&F),386,False
Pre-caudal,88,11.4,Great white shark (M&F),386,False
Pre-caudal,89,11.7,Great white shark (M&F),386,False
Pre-caudal,90,12.1,Great white shark (M&F),386,False
Pre-caudal,91,12.5,Great white shark (M&F),386,False
Pre-caudal,92,12.9,Great white shark (M&F),386,False
Pre-caudal,93,13.4,Great white shark (M&F),386,False
Pre-caudal,94,13.8,Great white shark (M&F),386,False
Pre-caudal,95,14.2,Great white shark (M&F),386,False
Pre-caudal,96,14.7,Great white shark (M&F),386,False
Pre-caudal,97,15.1,Great white shark (M&F),386,False
Pre-caudal,98,15.6,Great white shark (M&F),386,False
Pre-caudal,99,16.1,Great white shark (M&F),386,False
Pre-caudal,100,16.5,Great white shark (M&F),386,False
Pre-caudal,101,17.0,Great white shark (M&F),386,False
Pre-caudal,102,17.5,Great white shark (M&F),386,False
Pre-caudal,103,18.0,Great white shark (M&F),386,False
Pre-caudal,104,18.6,Great white shark (M&F),386,False
Pre-caudal,105,19.1,Great white shark (M&F),386,False
Pre-caudal,106,19.6,Great white shark (M&F),386,False
Pre-caudal,107,20.2,Great white shark (M&F),386,False
Pre-caudal,108,20.7,Great white shark (M&F),386,False
Pre-caudal,109,21.3,Great white shark (M&F),386,False
Pre-caudal,110,21.9,Great white shark (M&F),386,False
Pre-caudal,111,22.5,Great white shark (M&F),386,False
Pre-caudal,112,23.1,Great white shark (M&F),386,False
Pre-caudal,113,23.7,Great white shark (M&F),386,False
Pre-caudal,114,24.3,Great white shark (M&F),386,False
Pre-caudal,115,25.0,Great white shark (M&F),386,False
Pre-caudal,116,25.6,Great white shark (M&F),386,False
Pre-caudal,117,26.3,Great white shark (M&F),386,False
Pre-caudal,118,26.9,Great white shark (M&F),386,False
Pre-caudal,119,27.6,Great white shark (M&F),386,False
Pre-caudal,120,28.3,Great white shark (M&F),386,False
Pre-caudal,121,29.0,Great white shark (M&F),386,False
Pre-caudal,122,29.7,Great white shark (M&F),386,False
Pre-caudal,123,30.4,Great white shark (M&F),386,False
Pre-caudal,124,31.2,Great white shark (M&F),386,False
Pre-caudal,125,31.9,Great white shark (M&F),386,False
Pre-caudal,126,32.7,Great white shark (M&F),386,False
Pre-caudal,127,33.4,Great white shark (M&F),386,False
Pre-caudal,128,34.2,Great white shark (M&F),386,False
Pre-caudal,129,35.0,Great white shark (M&F),386,False
Total length,25,0.3,Great hammerhead (M&F),335,False
Total length,26,0.3,Great hammerhead (M&F),335,False
Total length,27,0.4,Great hammerhead (M&F),335,False
Total length,28,0.4,Great hammerhead (M&F),335,False
Total length,29,0.4,Great hammerhead (M&F),335,False
Total length,30,0.5,Great hammerhead (M&F),335,False
Total length,31,0.5,Great hammerhead (M&F),335,False
Total length,32,0.6,Great hammerhead (M&F),335,False
Total length,33,0.6,Great hammerhead (M&F),335,False
Total length,34,0.7,Great hammerhead (M&F),335,False
Total length,35,0.8,Great hammerhead (M&F),335,False
Total length,36,0.8,Great hammerhead (M&F),335,False
Total length,37,0.9,Great hammerhead (M&F),335,False
Total length,38,1.0,Great hammerhead (M&F),335,False
Total length,39,1.0,Great hammerhead (M&F),335,False
Total length,40,1.1,Great hammerhead (M&F),335,False
Total length,41,1.2,Great hammerhead (M&F),335,False
Total length,42,1.3,Great hammerhead (M&F),335,False
Total length,43,1.4,Great hammerhead (M&F),335,False
Total length,44,1.5,Great hammerhead (M&F),335,False
Total length,45,1.6,Great hammerhead (M&F),335,False
Total length,46,1.7,Great hammerhead (M&F),335,False
Total length,47,1.8,Great hammerhead (M&F),335,False
Total length,48,1.9,Great hammerhead (M&F),335,False
Total length,49,2.0,Great hammerhead (M&F),335,False
Total length,50,2.1,Great hammerhead (M&F),335,False
Total length,51,2.3,Great hammerhead (M&F),335,False
Total length,52,2.4,Great hammerhead (M&F),335,False
Total length,53,2.6,Great hammerhead (M&F),335,False
Total length,54,2.7,Great hammerhead (M&F),335,False
Total length,55,2.8,Great hammerhead (M&F),335,False
Total length,56,3.0,Great hammerhead (M&F),335,False
Total length,57,3.2,Great hammerhead (M&F),335,False
Total length,58,3.3,Great hammerhead (M&F),335,False
Total length,59,3.5,Great hammerhead (M&F),335,False
Total length,60,3.7,Great hammerhead (M&F),335,False
Total length,61,3.9,Great hammerhead (M&F),335,False
Total length,62,4.0,Great hammerhead (M&F),335,False
Total length,63,4.2,Great hammerhead (M&F),335,False
Total length,64,4.4,Great hammerhead (M&F),335,False
Total length,65,4.7,Great hammerhead (M&F),335,False
Total length,66,4.9,Great hammerhead (M&F),335,False
Total length,67,5.1,Great hammerhead (M&F),335,False
Total length,68,5.3,Great hammerhead (M&F),335,False
Total length,69,5.5,Great hammerhead (M&F),335,False
Total length,70,5.8,Great hammerhead (M&F),335,False
Total length,71,6.0,Great hammerhead (M&F),335,False
Total length,72,6.3,Great hammerhead (M&F),335,False
Total length,73,6.5,Great hammerhead (M&F),335,False
Total length,74,6.8,Great hammerhead (M&F),335,False
Total length,75,7.1,Great hammerhead (M&F),335,False
Total length,76,7.4,Great hammerhead (M&F),335,False
Total length,77,7.7,Great hammerhead (M&F),335,False
Total length,78,8.0,Great hammerhead (M&F),335,False
Total length,79,8.3,Great hammerhead (M&F),335,False
Total length,80,8.6,Great hammerhead (M&F),335,False
Total length,81,8.9,Great hammerhead (M&F),335,False
Total length,82,9.2,Great hammerhead (M&F),335,False
Total length,83,9.6,Great hammerhead (M&F),335,False
Total length,84,9.9,Great hammerhead (M&F),335,False
Total length,85,10.2,Great hammerhead (M&F),335,False
Total length,86,10.6,Great hammerhead (M&F),335,False
Total length,87,11.0,Great hammerhead (M&F),335,False
Total length,88,11.4,Great hammerhead (M&F),335,False
Total length,89,11.7,Great hammerhead (M&F),335,False
Total length,90,12.1,Great hammerhead (M&F),335,False
Total length,91,12.5,Great hammerhead (M&F),335,False
Total length,92,12.9,Great hammerhead (M&F),335,False
Total length,93,13.4,Great hammerhead (M&F),335,False
Total length,94,13.8,Great hammerhead (M&F),335,False
Total length,95,14.2,Great hammerhead (M&F),335,False
Total length,96,14.7,Great hammerhead (M&F),335,False
Total length,97,15.1,Great hammerhead (M&F),335,False
Total length,98,15.6,Great hammerhead (M&F),335,False
Total length,99,16.1,Great hammerhead (M&F),335,False
Total length,100,16.5,Great hammerhead (M&F),335,False
Total length,101,17.0,Great hammerhead (M&F),335,False
Total length,102,17.5,Great hammerhead (M&F),335,False
Total length,103,18.0,Great hammerhead (M&F),335,False
Total length,104,18.6,Great hammerhead (M&F),335,False
Total length,105,19.1,Great hammerhead (M&F),335,False
Total length,106,19.6,Great hammerhead (M&F),335,False
Total length,107,20.2,Great hammerhead (M&F),335,False
Total length,108,20.7,Great hammerhead (M&F),335,False
Total length,109,21.3,Great hammerhead (M&F),335,False
Total length,110,21.9,Great hammerhead (M&F),335,False
Total length,111,22.5,Great hammerhead (M&F),335,False
Total length,112,23.1,Great hammerhead (M&F),335,False
Total length,113,23.7,Great hammerhead (M&F),335,False
Total length,114,24.3,Great hammerhead (M&F),335,False
Total length,115,25.0,Great hammerhead (M&F),335,False
Total length,116,25.6,Great hammerhead (M&F),335,False
Total length,117,26.3,Great hammerhead (M&F),335,False
Total length,118,26.9,Great hammerhead (M&F),335,False
Total length,119,27.6,Great hammerhead (M&F),335,False
Total length,120,28.3,Great hammerhead (M&F),335,False
Total length,121,29.0,Great hammerhead (M&F),335,False
Total length,122,29.7,Great hammerhead (M&F),335,False
Total length,123,30.4,Great hammerhead (M&F),335,False
Total length,124,31.2,Great hammerhead (M&F),335,False
Total length,125,31.9,Great hammerhead (M&F),335,False
Total length,126,32.7,Great hammerhead (M&F),335,False
Total length,127,33.4,Great hammerhead (M&F),335,False
Total length,128,34.2,Great hammerhead (M&F),335,False
Total length,129,35.0,Great hammerhead (M&F),335,False
Total length,25,0.1,Giant guitarfish (M&F),400,False
Total length,26,0.1,Giant guitarfish (M&F),400,False
Total length,27,0.1,Giant guitarfish (M&F),400,False
Total length,28,0.1,Giant guitarfish (M&F),400,False
Total length,29,0.2,Giant guitarfish (M&F),400,False
Total length,30,0.2,Giant guitarfish (M&F),400,False
Total length,31,0.2,Giant guitarfish (M&F),400,False
Total length,32,0.3,Giant guitarfish (M&F),400,False
Total length,33,0.3,Giant guitarfish (M&F),400,False
Total length,34,0.3,Giant guitarfish (M&F),400,False
Total length,35,0.4,Giant guitarfish (M&F),400,False
Total length,36,0.4,Giant guitarfish (M&F),400,False
Total length,37,0.5,Giant guitarfish (M&F),400,False
Total length,38,0.5,Giant guitarfish (M&F),400,False
Total length,39,0.6,Giant guitarfish (M&F),400,False
Total length,40,0.6,Giant guitarfish (M&F),400,False
Total length,41,0.7,Giant guitarfish (M&F),400,False
Total length,42,0.8,Giant guitarfish (M&F),400,False
Total length,43,0.8,Giant guitarfish (M&F),400,False
Total length,44,0.9,Giant guitarfish (M&F),400,False
Total length,45,1.0,Giant guitarfish (M&F),400,False
Total length,46,1.1,Giant guitarfish (M&F),400,False
Total length,47,1.2,Giant guitarfish (M&F),400,False
Total length,48,1.3,Giant guitarfish (M&F),400,False
Total length,49,1.4,Giant guitarfish (M&F),400,False
Total length,50,1.5,Giant guitarfish (M&F),400,False
Total length,51,1.6,Giant guitarfish (M&F),400,False
Total length,52,1.7,Giant guitarfish (M&F),400,False
Total length,53,1.8,Giant guitarfish (M&F),400,False
Total length,54,2.0,Giant guitarfish (M&F),400,False
Total length,55,2.1,Giant guitarfish (M&F),400,False
Total length,56,2.3,Giant guitarfish (M&F),400,False
Total length,57,2.4,Giant guitarfish (M&F),400,False
Total length,58,2.6,Giant guitarfish (M&F),400,False
Total length,59,2.8,Giant guitarfish (M&F),400,False
Total length,60,2.9,Giant guitarfish (M&F),400,False
Total length,61,3.1,Giant guitarfish (M&F),400,False
Total length,62,3.3,Giant guitarfish (M&F),400,False
Total length,63,3.5,Giant guitarfish (M&F),400,False
Total length,64,3.7,Giant guitarfish (M&F),400,False
Total length,65,3.9,Giant guitarfish (M&F),400,False
Total length,66,4.1,Giant guitarfish (M&F),400,False
Total length,67,4.3,Giant guitarfish (M&F),400,False
Total length,68,4.6,Giant guitarfish (M&F),400,False
Total length,69,4.8,Giant guitarfish (M&F),400,False
Total length,70,5.1,Giant guitarfish (M&F),400,False
Total length,71,5.3,Giant guitarfish (M&F),400,False
Total length,72,5.6,Giant guitarfish (M&F),400,False
Total length,73,5.9,Giant guitarfish (M&F),400,False
Total length,74,6.2,Giant guitarfish (M&F),400,False
Total length,75,6.5,Giant guitarfish (M&F),400,False
Total length,76,6.8,Giant guitarfish (M&F),400,False
Total length,77,7.1,Giant guitarfish (M&F),400,False
Total length,78,7.4,Giant guitarfish (M&F),400,False
Total length,79,7.8,Giant guitarfish (M&F),400,False
Total length,80,8.1,Giant guitarfish (M&F),400,False
Total length,81,8.5,Giant guitarfish (M&F),400,False
Total length,82,8.9,Giant guitarfish (M&F),400,False
Total length,83,9.3,Giant guitarfish (M&F),400,False
Total length,84,9.7,Giant guitarfish (M&F),400,False
Total length,85,10.1,Giant guitarfish (M&F),400,False
Total length,86,10.5,Giant guitarfish (M&F),400,False
Total length,87,11.0,Giant guitarfish (M&F),400,False
Total length,88,11.4,Giant guitarfish (M&F),400,False
Total length,89,11.9,Giant guitarfish (M&F),400,False
Total length,90,12.4,Giant guitarfish (M&F),400,False
Total length,91,12.9,Giant guitarfish (M&F),400,False
Total length,92,13.4,Giant guitarfish (M&F),400,False
Total length,93,13.9,Giant guitarfish (M&F),400,False
Total length,94,14.5,Giant guitarfish (M&F),400,False
Total length,95,15.0,Giant guitarfish (M&F),400,False
Total length,96,15.6,Giant guitarfish (M&F),400,False
Total length,97,16.2,Giant guitarfish (M&F),400,False
Total length,98,16.8,Giant guitarfish (M&F),400,False
Total length,99,17.4,Giant guitarfish (M&F),400,False
Total length,100,18.1,Giant guitarfish (M&F),400,False
Total length,101,18.7,Giant guitarfish (M&F),400,False
Total length,102,19.4,Giant guitarfish (M&F),400,False
Total length,103,20.1,Giant guitarfish (M&F),400,False
Total length,104,20.8,Giant guitarfish (M&F),400,False
Total length,105,21.6,Giant guitarfish (M&F),400,False
Total length,106,22.3,Giant guitarfish (M&F),400,False
Total length,107,23.1,Giant guitarfish (M&F),400,False
Total length,108,23.9,Giant guitarfish (M&F),400,False
Total length,109,24.7,Giant guitarfish (M&F),400,False
Total length,110,25.5,Giant guitarfish (M&F),400,False
Total length,111,26.4,Giant guitarfish (M&F),400,False
Total length,112,27.3,Giant guitarfish (M&F),400,False
Total length,113,28.2,Giant guitarfish (M&F),400,False
Total length,114,29.1,Giant guitarfish (M&F),400,False
Total length,115,30.0,Giant guitarfish (M&F),400,False
Total length,116,31.0,Giant guitarfish (M&F),400,False
Total length,117,32.0,Giant guitarfish (M&F),400,False
Total length,118,33.0,Giant guitarfish (M&F),400,False
Total length,119,34.0,Giant guitarfish (M&F),400,False
Total length,120,35.1,Giant guitarfish (M&F),400,False
Total length,121,36.2,Giant guitarfish (M&F),400,False
Total length,122,37.3,Giant guitarfish (M&F),400,False
Total length,123,38.4,Giant guitarfish (M&F),400,False
Total length,124,39.6,Giant guitarfish (M&F),400,False
Total length,125,40.8,Giant guitarfish (M&F),400,False
Total length,126,42.0,Giant guitarfish (M&F),400,False
Total length,127,43.2,Giant guitarfish (M&F),400,False
Total length,128,44.5,Giant guitarfish (M&F),400,False
Total length,129,45.8,Giant guitarfish (M&F),400,False
